airport_code,city_code,airport_name_en,airport_name_ar,airport_name_hi,Address in English,Address in Arabic,,Email,Phone,Website
CKG,CKG,Chongqing Jiangbei International Airport,,,,,,,,
CKH,,,,,,,,,,
CKS,CKS,Carajs Airport,,,,,,,,
CKX,,,,,,,,,,
CKY,CKY,Conakry International Airport,,,,,,,,
CKZ,,,,,,,,,,
CLE,CLE,Cleveland Hopkins International Airport,,,,,,,,
CLJ,CLJ,Cluj International Airport,,,,,,,,
CLL,CLL,Easterwood Airport,,,,,,,,
CLO,CLO,Alfonso Bonilla Aragon International Airport,,,,,,,,
CLP,AET,Clarks Point Airport,,,,,,,,
CLQ,CLQ,Lic Miguel De La Madrid Airport,,,,,,,,
CLT,CLT,Charlotte Douglas International Airport,,,,,,,,
CLV,,,,,,,,,,
CLY,CLY,Calvi-sainte-catherine Airport,,,,,,,,
CMA,,,,,,,,,,
CMB,CMB,Bandaranaike International Airport,,,,,,,,
CME,CME,Ciudad Del Carmen International Airport,,,,,,,,
CMF,CMF,Chambry Airport,,,,,,,,
CMG,,,,,,,,,,
CMH,CMH,Port Columbus International Airport,,,,,,,,
CMI,CMI,University Of Illinois Willard Airport,,,,,,,,
CMK,,,,,,,,,,
CMN,CAS,Mohammed V International Airport,,,,,,,,
CMW,CMW,Ignacio Agramonte International Airport,,,,,,,,
CMX,CMX,Houghton County Memorial Airport,,,,,,,,
CND,CND,Mihail Koglniceanu International Airport,,,,,,,,
CNF,BHZ,Tancredo Neves International Airport,,,,,,,,
CNJ,CNJ,Cloncurry Airport,,,,,,,,
CNM,CNM,Cavern City Air Terminal,,,,,,,,
CNP,CNP,Neerlerit Inaat Airport,,,,,,,,
CNQ,CNQ,Corrientes Airport,,,,,,,,
CNS,CNS,Cairns Airport,,,,,,,,
CNX,CNX,Chiang Mai Airport,,,,,,,,
CNY,CNY,Canyonlands Field Airport,,,,,,,,
COD,COD,Yellowstone Regional Airport,,,,,,,,
COK,COK,Cochin International Airport,,,,,,,,
COL,,,,,,,,,,
COO,COO,Cadjehoun Airport,,,,,,,,
COQ,UYN,Choibalsan Airport,,,,,,,,
COR,COR,Ingeniero Aeronutico Ambrosio Lv Taravella International Airport,,,,,,,,
COS,COS,Colorado Springs Airport,,,,,,,,
COU,COU,Columbia Regional Airport,,,,,,,,
CPC,CPC,Aviador C Campos Airport,,,,,,,,
CPD,,,,,,,,,,
CPE,CPE,Ingeniero Alberto Acua Ongay International Airport,,,,,,,,
CPH,CPH,Copenhagen Airport,,,,,,,,
CPO,CPO,Chamonate Airport,,,,,,,,
CPR,CPR,Casper-natrona County International Airport,,,,,,,,
CPS,,,,,,,,,,
CPT,CPT,Cape Town International Airport,,,,,,,,
CPV,CPV,Presidente Joo Suassuna Airport,,,,,,,,
CPX,CPX,Benjamin Rivera Noriega Airport,,,,,,,,
CRA,CRA,Craiova Airport,,,,,,,,
CRD,CRD,General E Mosconi Airport,,,,,,,,
CRI,CRI,Colonel Hill Airport,,,,,,,,
CRK,CRK,Diosdado Macapagal International Airport,,,,,,,,
CRL,BRU,Brussels South Charleroi Airport,,,,,,,,
CRM,CRM,Catarman National Airport,,,,,,,,
CRP,CRP,Corpus Christi International Airport,,,,,,,,
CRW,CRW,Yeager Airport,,,,,,,,
CRZ,,,,,,,,,,
CSA,,,,,,,,,,
CSG,CSG,Columbus Airport,,,,,,,,
CSK,,,,,,,,,,
CSX,CSX,Changsha Huanghua International Airport,,,,,,,,
CSY,CSY,Cheboksary Airport,,,,,,,,
CTA,CTA,Catania Interational Airport,,,,,,,,
CTC,CTC,Catamarca Airport,,,,,,,,
CTG,CTG,Rafael Nez International Airport,,,,,,,,
CTL,CTL,Charleville Airport,,,,,,,,
CTM,CTM,Chetumal International Airport,,,,,,,,
CTN,,,,,,,,,,
CTS,SPK,New Chitose Airport,,,,,,,,
CTU,CTU,Chengdu Shuangliu International Airport,,,,,,,,
CUC,CUC,Camilo Daza International Airport,,,,,,,,
CUE,CUE,Mariscal Lamar International Airport,,,,,,,,
CUF,CUF,Cuneo - Levaldigi Airport,,,,,,,,
CUK,,,,,,,,,,
CUL,CUL,Bachigualato Federal International Airport,,,,,,,,
CUM,CUM,Cuman Antonio Josc De Sucre Airport,,,,,,,,
CUN,CUN,Cancn International Airport,,,,,,,,
CUR,CUR,Curaao Airport,,,,,,,,
CUU,CUU,General Roberto Fierro Villalobos International Airport,,,,,,,,
CUZ,CUZ,Alejandro Velasco Astete International Airport,,,,,,,,
CVG,CVG,Cincinnati-northern Kentucky International Airport,,,,,,,,
CVM,CVM,General Pedro Jose Mendez International Airport,,,,,,,,
CVU,CVU,Corvo Airport,,,,,,,,
CWA,CWA,Central Wisconsin Airport,,,,,,,,
CWB,CWB,Afonso Pena International Airport,,,,,,,,
CWL,CWL,Cardiff Airport,,,,,,,,
CXB,CXB,Coxs Bazar Airport,,,,,,,,
CXF,,,,,,,,,,
CXH,YVR,Vancouver Harbour Water Airport,,,,,,,,
CXI,CXI,Cassidy International Airport,,,,,,,,
CXJ,,,,,,,,,,
CXR,CXR,Cam Ranh Airport,,,,,,,,
CYB,CYB,Charles Kirkconnell International Airport,,,,,,,,
CYD,,,,,,,,,,
CYF,,,,,,,,,,
CYO,CYO,Vilo Acuna International Airport,,,,,,,,
CYP,CYP,Calbayog Airport,,,,,,,,
CYS,CYS,Cheyenne Regional Airport,,,,,,,,
CYX,,,,,,,,,,
CYZ,CYZ,Cauayan Airport,,,,,,,,
CZE,CZE,Josc Leonardo Chirinos Airport,,,,,,,,
CZH,,,,,,,,,,
CZL,CZL,Mohamed Boudiaf International Airport,,,,,,,,
CZM,CZM,Cozumel International Airport,,,,,,,,
CZS,,,,,,,,,,
CZU,CZU,Las Brujas Airport,,,,,,,,
CZX,CZX,Changzhou Airport,,,,,,,,
DAB,DAB,Daytona Beach International Airport,,,,,,,,
DAC,DAC,Shahjalal International Airport,,,,,,,,
DAD,DAD,Da Nang International Airport,,,,,,,,
DAL,DFW,Dallas Love Field,,,,,,,,
DAM,DAM,Damascus International Airport,,,,,,,,
DAR,DAR,Julius Nyerere International Airport,,,,,,,,
DAT,DAT,Datong Airport,,,,,,,,
DAU,CMU,Daru Airport,,,,,,,,
DAV,,,,,,,,,,
DAX,DAX,Dachuan Airport,,,,,,,,
DAY,DAY,Dayton International Airport,,,,,,,,
DBA,DBA,Dalbandin Airport,,,,,,,,
DBO,DBO,Dubbo City Regional Airport,,,,,,,,
DBQ,DBQ,Dubuque Regional Airport,,,,,,,,
DBV,DBV,Dubrovnik Airport,,,,,,,,
DCA,WAS,Ronald Reagan Washington National Airport,,,,,,,,
DCF,,,,,,,,,,
DCG,,,,,,,,,,
DCM,DCM,Castres-mazamet Airport,,,,,,,,
DCN,CED,Raaf Base Curtin,,,,,,,,
DCY,,,,,,,,,,
DDC,DDC,Dodge City Regional Airport,,,,,,,,
DDG,DDG,Dandong Airport,,,,,,,,
DDU,,,,,,,,,,
DEA,DEA,Dera Ghazi Khan Airport,,,,,,,,
DEB,DEB,Debrecen International Airport,,,,,,,,
DEC,DEC,Decatur Airport,,,,,,,,
DED,DED,Dehradun Airport,,,,,,,,
DEE,,,,,,,,,,
DEF,ABD,Dezful Airport,,,,,,,,
DEL,DEL,Indira Gandhi International Airport,,,,,,,,
DEN,DEN,Denver International Airport,,,,,,,,
DFW,DFW,Dallas-fort Worth International Airport,,,,,,,,
DGA,,,,,,,,,,
DGO,DGO,General Guadalupe Victoria International Airport,,,,,,,,
DGT,DGT,Sibulan Airport,,,,,,,,
DHB,,,,,,,,,,
DHI,BWA,Dhangarhi Airport,,,,,,,,
DHM,DHM,Kangra Airport,,,,,,,,
DHN,DHN,Dothan Regional Airport,,,,,,,,
DIB,DIB,Dibrugarh Airport,,,,,,,,
DIE,DIE,Arrachart Airport,,,,,,,,
DIG,DIG,Diqing Airport,,,,,,,,
DIK,DIK,Dickinson Theodore Roosevelt Regional Airport,,,,,,,,
DIL,DIL,Presidente Nicolau Lobato International Airport,,,,,,,,
DIN,DIN,Dien Bien Phu Airport,,,,,,,,
DIQ,,,,,,,,,,
DIR,DIR,Aba Tenna Dejazmach Yilma International Airport,,,,,,,,
DIU,DIU,Diu Airport,,,,,,,,
DIW,,,,,,,,,,
DIY,DIY,Diyarbakir Airport,,,,,,,,
DJB,DJB,Sultan Thaha Airport,,,,,,,,
DJE,DJE,Djerba Zarzis International Airport,,,,,,,,
DJG,DJG,Djanet Inedbirene Airport,,,,,,,,
DJH,,,,,,,,,,
DJJ,DJJ,Sentani Airport,,,,,,,,
DKR,DKR,Lopold Sdar Senghor International Airport,,,,,,,,
DKS,,,,,,,,,,
DLA,DLA,Douala International Airport,,,,,,,,
DLC,DLC,Zhoushuizi Airport,,,,,,,,
DLE,DLE,Dole-tavaux Airport,,,,,,,,
DLG,DLG,Dillingham Airport,,,,,,,,
DLH,DLH,Duluth International Airport,,,,,,,,
DLI,DLI,Lien Khuong Airport,,,,,,,,
DLM,DLM,Dalaman Airport,,,,,,,,
DLU,DLU,Dali Airport,,,,,,,,
DLY,DLY,Dillons Bay Airport,,,,,,,,
DLZ,UYN,Dalanzadgad Airport,,,,,,,,
DMA,,,,,,,,,,
DMB,DMB,Taraz Airport,,,,,,,,
DMD,,,,,,,,,,
DME,MOW,Domodedovo International Airport,,,,,,,,
DMK,BKK,Don Mueang International Airport,,,,,,,,
DMM,DMM,King Fahd International Airport,,,,,,,,
DMU,DMU,Dimapur Airport,,,,,,,,
DND,DND,Dundee Airport,,,,,,,,
DNH,DNH,Dunhuang Airport,,,,,,,,
DNK,DNK,Dnipropetrovsk International Airport,,,,,,,,
DNR,DNR,Dinard-pleurtuit-saint-malo Airport,,,,,,,,
DNZ,,,,,,,,,,
DOB,SMQ,Rar Gwamar Airport,,,,,,,,
DOD,,,,,,,,,,
DOH,DOH,Doha International Airport,,,,,,,,
DOL,DOL,Deauville-saint-gatien Airport,,,,,,,,
DOM,DOM,Melville Hall Airport,,,,,,,,
DOU,CUZ,Dourados Airport,,,,,,,,
DOY,DOY,Dongying Shengli Airport,,,,,,,,
DPL,DPL,Dipolog Airport,,,,,,,,
DPO,DPO,Devonport Airport,,,,,,,,
DPS,DPS,Ngurah Rai Airport,,,,,,,,
DPT,,,,,,,,,,
DQA,STI,Saertu Airport,,,,,,,,
DRG,CDV,Deering Airport,,,,,,,,
DRK,TNO,Drake Bay Airport,,,,,,,,
DRO,DRO,Durango-la Plata County Airport,,,,,,,,
DRS,DRS,Dresden Airport,,,,,,,,
DRV,,,,,,,,,,
DRW,DRW,Darwin International Airport,,,,,,,,
DSA,DSA,Robin Hood Doncaster Sheffield Airport,,,,,,,,
DSE,,,,,,,,,,
DSI,,,,,,,,,,
DSM,DSM,Des Moines International Airport,,,,,,,,
DSN,DSN,Ordos Ejin Horo Airport,,,,,,,,
DTB,,,,,,,,,,
DTM,DTM,Dortmund Airport,,,,,,,,
DTW,DTT,Detroit Metropolitan Wayne County Airport,,,,,,,,
DUB,DUB,Dublin Airport,,,,,,,,
DUD,DUD,Dunedin International Airport,,,,,,,,
DUJ,DUJ,Dubois Regional Airport,,,,,,,,
DUM,,,,,,,,,,
DUR,DUR,King Shaka International Airport,,,,,,,,
DUS,DUS,Dsseldorf Airport,,,,,,,,
DUT,DUT,Unalaska Airport,,,,,,,,
DVL,DUJ,Devils Lake Regional Airport,,,,,,,,
DVO,DVO,Francisco Bangoy International Airport,,,,,,,,
DWC,DXB,Dubai World Central - Al Maktoum International Airport,,,,,,,,
DWD,DWD,Dawadmi Domestic Airport,,,,,,,,
DWO,,,,,,,,,,
DXB,DXB,Dubai International Airport,,,,,,,,
DXE,,,,,,,,,,
DYG,DYG,Dayong Airport,,,,,,,,
DYR,DYR,Ugolny Airport,,,,,,,,
DYU,DYU,Dushanbe Airport,,,,,,,,
DZA,DZA,Dzaoudzi Pamandzi International Airport,,,,,,,,
DZN,DZN,Zhezkazgan Airport,,,,,,,,
EAA,,,,,,,,,,
EAE,EAE,Siwo Airport,,,,,,,,
EAM,EAM,Nejran Airport,,,,,,,,
EAR,EAR,Kearney Regional Airport,,,,,,,,
EAS,EAS,San Sebastin Airport,,,,,,,,
EAT,EAT,Pangborn Memorial Airport,,,,,,,,
EAU,EAU,Chippewa Valley Regional Airport,,,,,,,,
EBA,EBA,Marina Di Campo Airport,,,,,,,,
EBB,EBB,Entebbe International Airport,,,,,,,,
EBH,MUW,El Bayadh Airport,,,,,,,,
EBJ,EBJ,Esbjerg Airport,,,,,,,,
EBL,EBL,Erbil International Airport,,,,,,,,
EBU,EBU,Saint-tienne-bouthcon Airport,,,,,,,,
ECI,,,,,,,,,,
ECN,ECN,Ercan International Airport,,,,,,,,
ECP,PFN,Northwest Florida Beaches International Airport,,,,,,,,
EDA,,,,,,,,,,
EDI,EDI,Edinburgh Airport,,,,,,,,
EDL,EDL,Eldoret International Airport,,,,,,,,
EDO,,,,,,,,,,
EDR,,,,,,,,,,
EEK,DUT,Eek Airport,,,,,,,,
EFL,EFL,Argostolion Airport,,,,,,,,
EGC,EGC,Bergerac-roumanire Airport,,,,,,,,
EGE,EGE,Eagle County Regional Airport,,,,,,,,
EGM,EGM,Sege Airport,,,,,,,,
EGN,EGN,Geneina Airport,,,,,,,,
EGO,EGO,Belgorod International Airport,,,,,,,,
EGS,EGS,Egilsstair Airport,,,,,,,,
EGX,IGG,Egegik Airport,,,,,,,,
EIN,EIN,Eindhoven Airport,,,,,,,,
EIS,EIS,Beef Island Tortola Airport,,,,,,,,
EJA,EJA,Yarigu-es Airport,,,,,,,,
EJH,EJH,Al Wajh Domestic Airport,,,,,,,,
EJN,,,,,,,,,,
EKO,EKO,Elko Regional Airport,,,,,,,,
EKS,,,,,,,,,,
ELC,ELC,Elcho Island Airport,,,,,,,,
ELD,ELD,South Arkansas Regional Airport At Goodwin Field,,,,,,,,
ELF,ELF,El Fasher Airport,,,,,,,,
ELG,ELG,El Golea Airport,,,,,,,,
ELH,ELH,North Eleuthera Airport,,,,,,,,
ELI,AET,Elim Airport,,,,,,,,
ELM,ELM,Elmira Corning Regional Airport,,,,,,,,
ELP,ELP,El Paso International Airport,,,,,,,,
ELQ,ELQ,Gassim Airport,,,,,,,,
ELS,ELS,East London Airport,,,,,,,,
ELU,LOO,Guemar Airport,,,,,,,,
ELV,,,,,,,,,,
EMA,EMA,East Midlands Airport,,,,,,,,
EMD,EMD,Emerald Airport,,,,,,,,
EMK,EHM,Emmonak Airport,,,,,,,,
ENA,ENA,Kenai Municipal Airport,,,,,,,,
ENE,ENE,Ende H Hasan Aroeboesman Airport,,,,,,,,
ENF,,,,,,,,,,
ENH,ENH,Enshi Airport,,,,,,,,
ENI,,,,,,,,,,
ENU,ENU,Akanu Ibiam International Airport,,,,,,,,
ENY,ENY,Yanan Airport,,,,,,,,
EOH,MDE,Enrique Olaya Herrera Airport,,,,,,,,
EOI,,,,,,,,,,
EPL,,,,,,,,,,
EPR,EPR,Esperance Airport,,,,,,,,
EQS,EQS,Brigadier Antonio Parodi Airport,,,,,,,,
ERC,ERC,Erzincan Airport,,,,,,,,
ERF,ERF,Erfurt-weimar Airport,,,,,,,,
ERG,,,,,,,,,,
ERH,ERH,Moulay Ali Cherif Airport,,,,,,,,
ERI,ERI,Erie International Airport Tom Ridge Field,,,,,,,,
ERL,DAT,Erenhot Saiwusu International Airport,,,,,,,,
ERS,WDH,Eros Airport,,,,,,,,
ERZ,ERZ,Erzurum International Airport,,,,,,,,
ESB,ANK,Esenboa International Airport,,,,,,,,
ESC,ESC,Delta County Airport Esc,,,,,,,,
ESD,,,,,,,,,,
ESL,,,,,,,,,,
ESM,,,,,,,,,,
ESU,ESU,Mogador Airport,,,,,,,,
ETH,ETH,Eilat Airport,,,,,,,,
ETR,,,,,,,,,,
ETZ,ETZ,Metz-nancy-lorraine Airport,,,,,,,,
EUA,,,,,,,,,,
EUG,EUG,Eugene Airport,,,,,,,,
EUN,EUN,Hassan I Airport,,,,,,,,
EUX,EUX,Fd Roosevelt Airport,,,,,,,,
EVE,EVE,Harstad-narvik Airport,,,,,,,,
EVG,,,,,,,,,,
EVN,EVN,Zvartnots International Airport,,,,,,,,
EVV,EVV,Evansville Regional Airport,,,,,,,,
EWB,EWB,New Bedford Regional Airport,,,,,,,,
EWN,EWN,Coastal Carolina Regional Airport,,,,,,,,
EWR,NYC,Newark Liberty International Airport,,,,,,,,
EXI,,,,,,,,,,
EXT,EXT,Exeter International Airport,,,,,,,,
EYK,URJ,Beloyarskiy Airport,,,,,,,,
EYP,EYP,El Yopal Airport,,,,,,,,
EYW,EYW,Key West International Airport,,,,,,,,
EZE,BUE,Ministro Pistarini International Airport,,,,,,,,
EZS,EZS,Elaz Airport,,,,,,,,
EZV,SLY,Berezovo Airport,,,,,,,,
FAC,MVT,Faaite Airport,,,,,,,,
FAE,FAE,Vagar Airport,,,,,,,,
FAH,WAG,Farah Airport,,,,,,,,
FAI,FAI,Fairbanks International Airport,,,,,,,,
FAO,FAO,Faro Airport,,,,,,,,
FAR,FAR,Hector International Airport,,,,,,,,
FAT,FAT,Fresno Yosemite International Airport,,,,,,,,
FAV,REA,Fakarava Airport,,,,,,,,
FAY,FAY,Fayetteville Regional Airport,,,,,,,,
FBD,FBD,Faizabad Airport,,,,,,,,
FBM,FBM,Lubumbashi International Airport,,,,,,,,
FBS,,,,,,,,,,
FCA,FCA,Glacier Park International Airport,,,,,,,,
FCO,ROM,Leonardo Da Vinci-fiumicino Airport,,,,,,,,
FDE,FDE,Bringeland Airport,,,,,,,,
FDF,FDF,Martinique Aim Csaire International Airport,,,,,,,,
FDH,FDH,Friedrichshafen Airport,,,,,,,,
FEC,,,,,,,,,,
FEG,FEG,Fergana International Airport,,,,,,,,
FEN,FEN,Fernando De Noronha Airport,,,,,,,,
FEZ,FEZ,Fes-sass Airport,,,,,,,,
FGI,APW,Fagalii Airport,,,,,,,,
FGU,AAA,Fangatau Airport,,,,,,,,
FHZ,MVT,Fakahina Airport,,,,,,,,
FIE,,,,,,,,,,
FIH,FIH,Ndjili Airport,,,,,,,,
FKB,FKB,Baden Airpark Airport,,,,,,,,
FKI,,,,,,,,,,
FKL,FKL,Venango Regional Airport,,,,,,,,
FKQ,,,,,,,,,,
FKS,GAJ,Fukushima Airport,,,,,,,,
FLA,FLA,Gustavo Artunduaga Paredes Airport,,,,,,,,
FLG,GCN,Flagstaff Pulliam Airport,,,,,,,,
FLL,FLL,Fort Lauderdale-hollywood International Airport,,,,,,,,
FLN,FLN,Herclio Luz International Airport,,,,,,,,
FLO,FLO,Florence Regional Airport,,,,,,,,
FLR,FLR,Florence Airport,,,,,,,,
FLS,FLS,Flinders Island Airport,,,,,,,,
FLW,FLW,Flores Airport,,,,,,,,
FLZ,,,,,,,,,,
FMA,FMA,Formosa International Airport,,,,,,,,
FMI,,,,,,,,,,
FMM,FMM,Memmingen Allgau Airport,,,,,,,,
FMN,FMN,Four Corners Regional Airport,,,,,,,,
FMO,FMO,Mnster Osnabrck International Airport,,,,,,,,
FNA,FNA,Lungi International Airport,,,,,,,,
FNC,FNC,Madeira Airport,,,,,,,,
FNJ,FNJ,Sunan International Airport,,,,,,,,
FNT,FNT,Bishop International Airport,,,,,,,,
FOA,,,,,,,,,,
FOC,FOC,Fuzhou Changle International Airport,,,,,,,,
FOD,FOD,Fort Dodge Regional Airport,,,,,,,,
FOG,FOG,Foggia - Gino Lisa Airport,,,,,,,,
FON,FON,Arenal Airport,,,,,,,,
FOR,FOR,Pinto Martins - Fortaleza International Airport,,,,,,,,
FPO,FPO,Grand Bahama International Airport,,,,,,,,
FRA,FRA,Frankfurt Airport,,,,,,,,
FRD,FRD,Friday Harbor Airport,,,,,,,,
FRE,FRE,Fera-maringe Airport,,,,,,,,
FRO,FRO,Flor Airport,,,,,,,,
FRS,FRS,Mundo Maya International Airport,,,,,,,,
FRU,FRU,Manas International Airport,,,,,,,,
FRW,FRW,Francistown Airport,,,,,,,,
FSC,FSC,Figari Sud-corse Airport,,,,,,,,
FSD,FSD,Sioux Falls Regional Airport,,,,,,,,
FSM,FSM,Fort Smith Regional Airport,,,,,,,,
FSP,FSP,St Pierre Airport,,,,,,,,
FSZ,OKI,Mt Fuji Shizuoka Airport,,,,,,,,
FTA,FTA,Futuna Airport,,,,,,,,
FTE,FTE,El Calafate Airport,,,,,,,,
FTU,FTU,Tlanaro Airport,,,,,,,,
FUE,FUE,Fuerteventura Airport,,,,,,,,
FUG,KHN,Fuyang Xiguan Airport,,,,,,,,
FUJ,FUJ,Fukue Airport,,,,,,,,
FUK,FUK,Fukuoka Airport,,,,,,,,
FUN,FUN,Funafuti International Airport,,,,,,,,
FUO,PZI,Foshan Shadi Airport,,,,,,,,
FUT,,,,,,,,,,
FVM,PBH,Fuvahmulah Airport,,,,,,,,
FWA,FWA,Fort Wayne International Airport,,,,,,,,
FXE,,,,,,,,,,
FYJ,,,,,,,,,,
FYU,,,,,,,,,,
GAE,,,,,,,,,,
GAF,,,,,,,,,,
GAJ,GAJ,Yamagata Airport,,,,,,,,
GAL,GAL,Edward G Pitka Sr Airport,,,,,,,,
GAM,GAM,Gambell Airport,,,,,,,,
GAN,PBH,Gan International Airport,,,,,,,,
GAO,GAO,Mariana Grajales Airport,,,,,,,,
GAU,GAU,Lokpriya Gopinath Bordoloi International Airport,,,,,,,,
GAX,,,,,,,,,,
GAY,GAY,Gaya Airport,,,,,,,,
GBB,NAJ,Gabala International Airport,,,,,,,,
GBE,GBE,Sir Seretse Khama International Airport,,,,,,,,
GBT,GBT,Gorgan Airport,,,,,,,,
GCC,GCC,Gillette-campbell County Airport,,,,,,,,
GCI,GCI,Guernsey Airport,,,,,,,,
GCK,GCK,Garden City Regional Airport,,,,,,,,
GCM,GCM,Owen Roberts International Airport,,,,,,,,
GCN,GCN,Grand Canyon National Park Airport,,,,,,,,
GCW,TQR,Grand Canyon West Airport,,,,,,,,
GDE,GDE,Gode Airport,,,,,,,,
GDL,GDL,Miguel Hidalgo Y Costilla International Airport,,,,,,,,
GDN,GDN,Gdask Lech Wasa Airport,,,,,,,,
GDQ,GDQ,Gonder Airport,,,,,,,,
GDT,GDT,Jags Mccartney International Airport,,,,,,,,
GDV,GDV,Dawson Community Airport,,,,,,,,
GDX,GDX,Sokol Airport,,,,,,,,
GDZ,AAQ,Gelendzhik Airport,,,,,,,,
GEA,NOU,Nouma Magenta Airport,,,,,,,,
GEG,GEG,Spokane International Airport,,,,,,,,
GEM,,,,,,,,,,
GEO,GEO,Cheddi Jagan International Airport,,,,,,,,
GER,,,,,,,,,,
GES,GES,Tambler Airport,,,,,,,,
GET,GET,Geraldton Airport,,,,,,,,
GEV,GEV,Gllivare Airport,,,,,,,,
GFF,,,,,,,,,,
GFK,GFK,Grand Forks International Airport,,,,,,,,
GFN,,,,,,,,,,
GGG,GGG,East Texas Regional Airport,,,,,,,,
GGM,NBO,Kakamega Airport,,,,,,,,
GGT,GGT,Exuma International Airport,,,,,,,,
GGW,GGW,Glasgow Airport Us,,,,,,,,
GHA,GHA,Noumcrat - Moufdi Zakaria Airport,,,,,,,,
GHB,GHB,Governors Harbour Airport,,,,,,,,
GHT,,,,,,,,,,
GIB,GIB,Gibraltar International Airport,,,,,,,,
GIG,RIO,Rio De Janeiro-galeo International Airport,,,,,,,,
GIL,GIL,Gilgit Airport,,,,,,,,
GIS,GIS,Gisborne Airport,,,,,,,,
GIU,RML,Sigiriya Air Force Base,,,,,,,,
GIZ,GIZ,Jizan Regional Airport,,,,,,,,
GJA,GJA,La Laguna Airport,,,,,,,,
GJL,,,,,,,,,,
GJT,GJT,Grand Junction Regional Airport,,,,,,,,
GKA,GKA,Goroka Airport,,,,,,,,
GKK,MLE,Kooddoo Airport,,,,,,,,
GLA,GLA,Glasgow Airport,,,,,,,,
GLF,GLF,Golfito Airport,,,,,,,,
GLH,GLH,Mid Delta Regional Airport,,,,,,,,
GLK,GLK,Galcaio Airport,,,,,,,,
GLN,ILZ,Goulimime Airport,,,,,,,,
GLO,GLO,Gloucestershire Airport,,,,,,,,
GLT,GLT,Gladstone Airport,,,,,,,,
GLV,GAL,Golovin Airport,,,,,,,,
GLX,,,,,,,,,,
GMA,,,,,,,,,,
GMB,GMB,Gambella Airport,,,,,,,,
GME,GME,Gomel Airport,,,,,,,,
GMO,VBV,Gombe Lawanti International Airport,,,,,,,,
GMP,SEL,Gimpo International Airport,,,,,,,,
GMR,GMR,Totegegie Airport,,,,,,,,
GMZ,FUE,La Gomera Airport,,,,,,,,
GNA,KGD,Hrodna Airport,,,,,,,,
GNB,LYS,Grenoble-isre Airport,,,,,,,,
GND,GND,Maurice Bishop International Airport,,,,,,,,
GNS,,,,,,,,,,
GNU,,,,,,,,,,
GNV,GNV,Gainesville Regional Airport,,,,,,,,
GNY,SIC,Anlurfa Gap Airport,,,,,,,,
GOA,GOA,Genoa Cristoforo Colombo Airport,,,,,,,,
GOH,GOH,Nuuk Airport,,,,,,,,
GOI,GOI,Goa International Airport,,,,,,,,
GOJ,GOJ,Nizhny Novgorod International Airport,,,,,,,,
GOM,,,,,,,,,,
GOP,GOP,Gorakhpur Airport,,,,,,,,
GOQ,GOQ,Golmud Airport,,,,,,,,
GOT,GOT,Gteborg Landvetter Airport,,,,,,,,
GOU,GOU,Garoua International Airport,,,,,,,,
GOV,GOV,Gove Airport,,,,,,,,
GPA,GPA,Araxos Airport,,,,,,,,
GPI,GPI,Juan Casiano Airport,,,,,,,,
GPS,GPS,Seymour Airport,,,,,,,,
GPT,GPT,Gulfport-biloxi International Airport,,,,,,,,
GRB,GRB,Austin Straubel International Airport,,,,,,,,
GRI,GRI,Central Nebraska Regional Airport,,,,,,,,
GRJ,GRJ,George Airport,,,,,,,,
GRK,ILE,Killeen-fort Hood Regional Airport,,,,,,,,
GRO,GRO,Girona-costa Brava Airport,,,,,,,,
GRQ,GRQ,Groningen Airport Eelde,,,,,,,,
GRR,GRR,Gerald R Ford International Airport,,,,,,,,
GRU,SAO,So Paulo-guarulhos International Airport,,,,,,,,
GRV,GRV,Grozny North Airport,,,,,,,,
GRW,GRW,Graciosa Airport,,,,,,,,
GRX,GRX,Federico Garca Lorca Airport,,,,,,,,
GRZ,GRZ,Graz Airport,,,,,,,,
GSM,GSM,Gheshm Airport,,,,,,,,
GSO,GSO,Piedmont Triad International Airport,,,,,,,,
GSP,GSP,Greenville-spartanburg International Airport,,,,,,,,
GST,GST,Gustavus Airport,,,,,,,,
GTE,GTE,Groote Eylandt Airport,,,,,,,,
GTF,GTF,Great Falls International Airport,,,,,,,,
GTO,GTO,Jalaluddin Airport,,,,,,,,
GTR,GTR,Golden Triangle Regional Airport,,,,,,,,
GUA,GUA,La Aurora International Airport,,,,,,,,
GUC,GUC,Gunnison-crested Butte Regional Airport,,,,,,,,
GUM,GUM,Antonio B Won Pat International Airport,,,,,,,,
GUR,GKA,Gurney Airport,,,,,,,,
GUW,GUW,Atyrau Airport,,,,,,,,
GVA,GVA,Geneva International Airport,,,,,,,,
GVR,,,,,,,,,,
GWD,GWD,Gwadar International Airport,,,,,,,,
GWL,GWL,Gwalior Airport,,,,,,,,
GWT,GWT,Westerland Sylt Airport,,,,,,,,
GXF,GXF,Sayun International Airport,,,,,,,,
GXH,,,,,,,,,,
GYA,SRZ,Capitn De Av Emilio Beltrn Airport,,,,,,,,
GYD,GYD,Heydar Aliyev International Airport,,,,,,,,
GYE,GYE,Jos Joaqun De Olmedo International Airport,,,,,,,,
GYG,,,,,,,,,,
GYL,,,,,,,,,,
GYN,GYN,Santa Genoveva Airport,,,,,,,,
GYS,GYS,Guangyuan Airport,,,,,,,,
GYU,GOQ,Guyuan Liupanshan Airport,,,,,,,,
GZO,GZO,Nusatupe Airport,,,,,,,,
